Geography,"Population, 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
0077.37 - Calgary i447,4579,1.05,4377.2
0077.38 - Calgary i448,3395,1.53,2216.1
0077.39 - Calgary i449,5397,1.28,4210.2
0077.40 - Calgary i450,2144,0.91,2358.6
0077.41 - Calgary i451,2289,0.87,2646.2
0200.02 - Calgary i452,x,282.44,x
0200.03 - Calgary i453,2428,424.32,5.7
0200.05 - Calgary i454,5030,107.74,46.7
0200.06 - Calgary i455,5088,62.77,81.1
0201.01 - Calgary i456,7440,246.3,30.2
0201.02 - Calgary i457,4225,844.49,5
0202.01 - Calgary i458,3914,30.4,128.8
0202.02 - Calgary i459,780,51.3,15.2
0202.03 - Calgary i460,3599,11.89,302.7
0202.04 - Calgary i461,2807,465.34,6
0203.00 - Calgary i462,4012,960.24,4.2
0204.01 - Calgary i463,6722,304.85,22.1
0204.03 - Calgary i464,5209,418.88,12.4
0204.06 - Calgary i465,3271,8.78,372.6
0204.07 - Calgary i466,1593,4.9,324.9
0204.08 - Calgary i467,1554,2.29,679.3
0204.09 - Calgary i468,6246,1.99,3145.5
0204.10 - Calgary i469,387,5.11,75.7
0204.11 - Calgary i470,x,4.93,x
0204.12 - Calgary i471,5290,2.47,2139.6
0204.13 - Calgary i472,3822,2.36,1619.2
0205.02 - Calgary i473,3320,2.62,1264.8
0205.04 - Calgary i474,4005,5.28,758.1
0205.05 - Calgary i475,3776,1.84,2057.1
0205.06 - Calgary i476,3054,1.31,2340.1
0205.07 - Calgary i477,6052,2.86,2115.7
0205.08 - Calgary i478,4885,7.54,647.7
0205.09 - Calgary i479,7107,10.13,701.5
0206.02 - Calgary i480,3128,1.33,2348.9
0206.05 - Calgary i481,7690,2.75,2797.8
0206.06 - Calgary i482,7078,2.56,2764.1
0206.07 - Calgary i483,7132,2.48,2877.7
0206.08 - Calgary i484,9299,5.2,1786.8
0206.09 - Calgary i485,8421,3.95,2129.7
0206.10 - Calgary i486,7230,2.09,3464.5
0206.11 - Calgary i487,6403,1.92,3338.7
0207.01 - Calgary i488,4540,3.5,1296.4
0207.03 - Calgary i489,6583,5.4,1218.7
0207.04 - Calgary i490,5816,1.9,3057
